Months,January,February,March,April,May,June,July,August,September,October,November,December
0,"51,284.80","68,325.00","60,216.00","71,493.80","43,908.40","39,844.40","48,916.00","52,704.40","74,110.80","72,083.40","63,020.27","45,442.20"
1,"3,522.80","3,797.00","3,873.80","3,947.40","2,654.80","2,638.80","4,025.20","3,273.20","3,522.80","3,796.60","4,025.20","3,273.20"
2,"4,004.67","3,792.67","4,505.67","4,544.00","4,666.00","4,876.33","3,462.67","4,730.00","4,836.00","3,879.33","4,011.33","4,062.33"
3,"8,341.80","8,277.60","9,129.80","8,530.20","8,398.20","8,152.40","8,922.60","9,898.20","9,463.60","9,838.60","8,274.40","8,176.40"
4,"8,590.80","8,678.40","9,391.60","9,028.20","8,071.80","7,603.40","9,172.20","9,930.20","9,716.00","10,179.40","8,746.80","7,781.00"
5,"17,074.40","16,854.40","18,747.80","19,263.60","18,688.20","18,198.80","19,266.80","20,917.40","19,895.00","20,754.00","18,369.80","18,041.00"
6,"6,166.80","6,068.80","6,751.40","6,802.20","6,012.00","6,559.20","6,778.00","7,150.40","6,451.60","7,118.60","6,665.80","6,698.40"
7,"49,614.20","50,413.20","54,034.00","53,998.80","48,758.20","44,647.20","50,478.80","55,481.60","58,416.80","59,729.60","53,076.80","48,557.20"
8,"7,128.60","6,909.00","7,540.60","7,280.20","7,320.40","8,124.40","8,282.20","8,344.60","7,832.40","8,503.60","7,406.40","7,390.80"
9,"1,875.00","1,887.00","2,071.80","1,933.20","1,732.00","1,650.20","2,065.60","1,928.40","1,987.40","2,073.00","1,966.40","1,740.80"
10,"4,951.60","4,761.40","5,228.80","5,042.20","5,111.60","5,005.40","5,342.60","5,747.40","5,325.40","5,662.20","5,151.20","5,241.60"
11,"5,033.40","4,730.60","5,150.00","5,037.40","4,813.40","4,273.00","5,094.20","5,376.60","5,059.20","5,462.00","4,803.20","4,827.00"
12,"1,661.33","1,565.33","1,632.00","1,698.33","1,840.67","1,575.67","1,458.33",989,"1,243.00","1,715.67","1,878.33","1,605.67"
