Months,FT,1,2,3,4,5,6,7,8,9,10,11,12
January,"51,285","3,523","4,005","8,342","8,591","17,074","6,167","49,614","7,129","1,875","4,952","5,033","1,661"
February,"68,325","3,797","3,793","8,278","8,678","16,854","6,069","50,413","6,909","1,887","4,761","4,731","1,565"
March,"60,216","3,874","4,506","9,130","9,392","18,748","6,751","54,034","7,541","2,072","5,229","5,150","1,632"
April ,"71,494","3,947","4,544","8,530","9,028","19,264","6,802","53,999","7,280","1,933","5,042","5,037","1,698"
May,"43,908","2,655","4,666","8,398","8,072","18,688","6,012","48,758","7,320","1,732","5,112","4,813","1,841"
June,"39,844","2,639","4,876","8,152","7,603","18,199","6,559","44,647","8,124","1,650","5,005","4,273","1,576"
July,"48,916","4,025","3,463","8,923","9,172","19,267","6,778","50,479","8,282","2,066","5,343","5,094","1,458"
August,"52,704","3,273","4,730","9,898","9,930","20,917","7,150","55,482","8,345","1,928","5,747","5,377",989
September,"74,111","3,523","4,836","9,464","9,716","19,895","6,452","58,417","7,832","1,987","5,325","5,059","1,243"
October,"72,083","3,797","3,879","9,839","10,179","20,754","7,119","59,730","8,504","2,073","5,662","5,462","1,716"
November,"63,020","4,025","4,011","8,274","8,747","18,370","6,666","53,077","7,406","1,966","5,151","4,803","1,878"
December,"45,442","3,273","4,062","8,176","7,781","18,041","6,698","48,557","7,391","1,741","5,242","4,827","1,606"
