Months,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.
0,"51,285","68,325","60,216","71,494","43,908","39,844","48,916","52,704","74,111","72,083","63,020","45,442"
1,"3,523","3,797","3,874","3,947","2,655","2,639","4,025","3,273","3,523","3,797","4,025","3,273"
2,"4,005","3,793","4,506","4,544","4,666","4,876","3,463","4,730","4,836","3,879","4,011","4,062"
3,"8,342","8,278","9,130","8,530","8,398","8,152","8,923","9,898","9,464","9,839","8,274","8,176"
4,"8,591","8,678","9,392","9,028","8,072","7,603","9,172","9,930","9,716","10,179","8,747","7,781"
5,"17,074","16,854","18,748","19,264","18,688","18,199","19,267","20,917","19,895","20,754","18,370","18,041"
6,"6,167","6,069","6,751","6,802","6,012","6,559","6,778","7,150","6,452","7,119","6,666","6,698"
7,"49,614","50,413","54,034","53,999","48,758","44,647","50,479","55,482","58,417","59,730","53,077","48,557"
8,"7,129","6,909","7,541","7,280","7,320","8,124","8,282","8,345","7,832","8,504","7,406","7,391"
9,"1,875","1,887","2,072","1,933","1,732","1,650","2,066","1,928","1,987","2,073","1,966","1,741"
10,"4,952","4,761","5,229","5,042","5,112","5,005","5,343","5,747","5,325","5,662","5,151","5,242"
11,"5,033","4,731","5,150","5,037","4,813","4,273","5,094","5,377","5,059","5,462","4,803","4,827"
12,"1,661","1,565","1,632","1,698","1,841","1,576","1,458",989,"1,243","1,716","1,878","1,606"
